gbifID,language,license,modified,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,organismQuantity,organismQuantityType,occurrenceStatus,continent,countryCode,decimallatitude,decimallongitude,footprintWKT,scientificNameID,scientificName,kingdom,phylum,class,order,family,genus,genericName,specificEpithet,taxonRank,vernacularName,taxonomicStatus,datasetKey,publishingCountry,lastInterpreted,depth,depthAccuracy,distanceFromCentroidInMeters,issue,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,protocol,lastParsed,lastCrawled,repatriated,level0Gid,level0Name,iucnRedListCategory
2858743299,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Scuba Diving sampling by hand},2438_MISTA_Antarctic_Phipoda:1658,1,individual count,PRESENT,NA,AQ,-62,69,POINT(69 -62),urn:lsid:marinespecies.org:taxname:237073,"Gondogeneia antarctica (Chevreux, 1906)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Gondogeneia,Gondogeneia,antarctica,SPECIES,Gondogeneia antarctica,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,3,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,4315073,4315073,1,54,229,1231,3254551,2216745,4315073,Gondogeneia antarctica,"Gondogeneia antarctica (Chevreux, 1906)",Gondogeneia antarctica,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
2858743298,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Polish trap (KGI)},2438_MISTA_Antarctic_Phipoda:0064,1,individual count,PRESENT,NA,AQ,-62,69,POINT(69 -62),urn:lsid:marinespecies.org:taxname:237124,"Abyssorchomene plebs (Hurley, 1965)",Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Pseudorchomene,Abyssorchomene,plebs,SPECIES,Abyssorchomene plebs,SYNONYM,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,80,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,4314906,6785557,1,54,229,1231,9689757,4315991,6785557,Pseudorchomene plebs,"Pseudorchomene plebs (Hurley, 1965)",Abyssorchomene plebs,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
2858743297,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Polish trawl (KGI)},2438_MISTA_Antarctic_Phipoda:1659,1,individual count,PRESENT,NA,AQ,-62,69,POINT(69 -62),urn:lsid:marinespecies.org:taxname:237073,"Gondogeneia antarctica (Chevreux, 1906)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Gondogeneia,Gondogeneia,antarctica,SPECIES,Gondogeneia antarctica,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,30,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,4315073,4315073,1,54,229,1231,3254551,2216745,4315073,Gondogeneia antarctica,"Gondogeneia antarctica (Chevreux, 1906)",Gondogeneia antarctica,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
2858743296,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,NA,2438_MISTA_Antarctic_Phipoda:1396,1,individual count,PRESENT,NA,AQ,-60.275,-59.116667,"LINESTRING(-59 -60.2000007629395, -59.2333335876465 -60.3499984741211)",urn:lsid:marinespecies.org:taxname:101607,"Eurythenes S.I.Smith, 1882",Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes,NA,GENUS,Eurythenes,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,1610,0,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,2218283,2218283,1,54,229,1231,3254569,2218283,NA,NA,"Eurythenes S.I.Smith, 1882",Eurythenes,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NA
2858743295,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Autonomous Trap system},2438_MISTA_Antarctic_Phipoda:0062,1,individual count,PRESENT,NA,AQ,-62,69,POINT(69 -62),urn:lsid:marinespecies.org:taxname:237124,"Abyssorchomene plebs (Hurley, 1965)",Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Pseudorchomene,Abyssorchomene,plebs,SPECIES,Abyssorchomene plebs,SYNONYM,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,120,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,4314906,6785557,1,54,229,1231,9689757,4315991,6785557,Pseudorchomene plebs,"Pseudorchomene plebs (Hurley, 1965)",Abyssorchomene plebs,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
2858743293,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,NA,2438_MISTA_Antarctic_Phipoda:1393,1,individual count,PRESENT,NA,CL,-57.199999,-74.649998,"LINESTRING(-74.6999969482422 -57.3333320617676, -74.5999984741211 -57.0666656494141)",urn:lsid:marinespecies.org:taxname:101607,"Eurythenes S.I.Smith, 1882",Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes,NA,GENUS,Eurythenes,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,1991,0,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,2218283,2218283,1,54,229,1231,3254569,2218283,NA,NA,"Eurythenes S.I.Smith, 1882",Eurythenes,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,TRUE,NA,NA,NA
2858743292,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,NA,2438_MISTA_Antarctic_Phipoda:1394,1,individual count,PRESENT,NA,AQ,-62.608334,-74.674999,"LINESTRING(-74.6833343505859 -62.7333335876465, -74.6666641235352 -62.4833335876465)",urn:lsid:marinespecies.org:taxname:101607,"Eurythenes S.I.Smith, 1882",Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes,NA,GENUS,Eurythenes,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,2249,474,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,2218283,2218283,1,54,229,1231,3254569,2218283,NA,NA,"Eurythenes S.I.Smith, 1882",Eurythenes,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NA
2858743291,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,NA,2438_MISTA_Antarctic_Phipoda:1399,1,individual count,PRESENT,NA,FK,-54.183332,-55.683334,"LINESTRING(-55.716667175293 -54.0999984741211, -55.6500015258789 -54.2666664123535)",urn:lsid:marinespecies.org:taxname:101607,"Eurythenes S.I.Smith, 1882",Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes,NA,GENUS,Eurythenes,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,534,0,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,2218283,2218283,1,54,229,1231,3254569,2218283,NA,NA,"Eurythenes S.I.Smith, 1882",Eurythenes,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,TRUE,NA,NA,NA
2858743290,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Autonomous Trap system},2438_MISTA_Antarctic_Phipoda:0063,1,individual count,PRESENT,NA,AQ,-62,69,POINT(69 -62),urn:lsid:marinespecies.org:taxname:237124,"Abyssorchomene plebs (Hurley, 1965)",Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Pseudorchomene,Abyssorchomene,plebs,SPECIES,Abyssorchomene plebs,SYNONYM,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,90,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,TRUE,FALSE,4314906,6785557,1,54,229,1231,9689757,4315991,6785557,Pseudorchomene plebs,"Pseudorchomene plebs (Hurley, 1965)",Abyssorchomene plebs,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
2858743289,English,CC_BY_4_0,2020-09-09T00:00:00Z,RBINS,HUMAN_OBSERVATION,{gear:Baited trap (PS)},2438_MISTA_Antarctic_Phipoda:0020,1,individual count,PRESENT,ANTARCTICA,AQ,-71.666664,-12.066667,POINT(-12.0666666030884 -71.6666641235352),urn:lsid:marinespecies.org:taxname:237162,"Abyssorchomene nodimanus (Walker, 1903)",Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,Abyssorchomene,nodimanus,SPECIES,Abyssorchomene nodimanus,ACCEPTED,667e0044-3ff1-4365-8ecf-e637c7b31fa4,AQ,2023-08-25T17:08:58Z,236,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES,TRUE,FALSE,4314903,4314903,1,54,229,1231,4467,4314902,4314903,Abyssorchomene nodimanus,"Abyssorchomene nodimanus (Walker, 1903)",Abyssorchomene nodimanus,EML,2023-08-25T17:08:58Z,2023-01-05T11:59:01Z,FALSE,NA,NA,NE
